Geneid	Length	670-105-B	670-105-F	670-1190-B	670-1190-F	670-34-B	670-34-F	716-23-B	716-23-F	716-4-B	716-4-F	716-6-B	716-6-F
sapp16976	2438	153	109	331	200	279	138	262	145	183	66	208	82
sapp16987	1162	243	121	283	234	252	212	265	183	228	182	305	185
sapp16986	447	0	0	0	0	0	0	0	0	0	0	0	0
sapp16990	486	0	0	0	1	1	3	0	7	0	0	0	0
sapp16982	1365	0	0	0	0	0	0	0	0	0	0	0	0
sapp16980	1902	3	4	0	0	0	0	0	2	2	5	0	1
sapp16985	312	0	0	0	0	0	0	0	0	0	0	0	0
sapp16985	915	0	0	0	0	0	0	0	0	0	0	0	0
sapp16984	867	0	0	0	0	0	0	0	0	0	0	0	0
sapp16989	1725	1217	167	1981	302	2239	575	1485	406	1027	247	1256	184
sapp16988	1132	1339	190	1915	746	3532	1179	1126	258	2091	527	1527	287
sapp16983	315	0	0	0	0	0	0	0	0	0	0	0	0
sapp25042	1410	21	0	27	0	38	0	7	0	14	0	14	0
sapp25043	540	0	0	0	0	0	0	0	0	1	0	0	0
sapp25039	615	0	0	0	0	0	0	0	0	0	0	0	0
sapp25041	273	0	0	0	0	0	0	0	0	0	0	1	0
sapp25044	2407	489	3592	305	5161	848	4491	945	7638	2758	7944	1171	7313
sapp25045	2010	460	300	695	521	625	465	509	398	474	246	536	249
sapp25053	642	0	0	0	0	0	0	0	0	0	0	0	0
sapp25055	1857	39	45	48	36	44	56	40	45	63	38	32	35
sapp25056	1017	7	0	2	1	8	0	5	0	2	1	2	0
sapp25054	417	0	0	0	0	0	0	0	0	0	0	2	0
sapp25049	375	0	0	0	0	0	0	0	0	0	0	0	0
sapp25049	312	0	0	0	0	0	0	0	0	0	0	0	0
sapp25070	1476	24	11	27	30	22	15	22	20	22	32	21	25
sapp25067	1209	262	78	661	97	345	79	334	155	303	68	325	101
sapp25062	1504	63	53	106	76	77	48	90	60	95	102	69	44
sapp25069	423	0	0	0	0	0	0	0	3	0	3	0	1
sapp25060	3136	308	214	526	363	454	278	401	294	414	302	464	260
sapp25063	836	0	0	0	0	0	0	0	0	0	0	0	0
sapp25068	3031	314	74	543	192	498	163	373	175	420	141	358	122
sapp25064	4286	158	19	272	18	194	22	144	21	131	11	130	35
sapp25058	2457	809	852	1113	1805	945	991	807	668	922	801	991	942
sapp25057	282	0	0	1	1	0	0	0	0	1	1	4	1
sapp25077	989	6	0	18	9	5	11	4	4	5	15	7	1
sapp25072	4958	329	213	474	386	372	329	359	289	352	233	404	232
sapp25081	1939	46	7	7	0	48	4	63	3	39	1	48	15
sapp25078	2517	157	44	222	34	174	126	111	63	151	65	208	33
sapp25080	1221	311	399	406	620	385	468	329	710	443	764	460	668
sapp25084	1971	0	0	1	3	0	0	1	2	0	1	1	3
sapp25075	2640	37	14	51	5	46	32	47	7	21	13	23	6
sapp25071	1493	196	156	296	248	264	208	215	180	218	119	225	145
sapp25082	1568	6	8	7	14	17	16	1	4	1	1	6	1
sapp25083	1174	0	0	0	3	1	3	4	5	1	1	0	3
sapp25083	1773	0	0	1	1	0	0	0	0	0	0	0	1
sapp25083	537	0	1	31	41	19	44	52	80	76	56	77	58
sapp25083	317	0	0	0	0	0	0	0	0	0	0	0	0
sapp25083	187	0	0	0	0	0	0	0	0	0	0	0	0
sapp25076	1562	1199	163	1516	253	1162	377	860	315	834	239	1151	183
sapp25097	1145	44	107	69	216	67	278	61	218	331	164	34	114
sapp25099	1811	3885	212	8403	464	4731	871	3730	562	3848	330	4081	369
sapp25094	2929	105	237	146	30	203	157	140	18	542	150	143	33
sapp25093	1269	13	14	5	4	9	7	31	7	33	7	32	12
sapp25098	1392	55	13	96	16	64	16	66	19	75	22	63	23
sapp25088	1956	148	118	176	200	165	160	218	159	221	211	243	174
sapp25087	551	13	6	22	9	12	6	19	19	18	34	16	9
sapp25095	1138	5	30	32	57	49	74	13	40	138	30	5	19
sapp25091	3474	383	478	558	668	595	578	482	512	535	468	453	463
sapp25090	438	4	2	2	2	0	2	4	3	5	1	8	2
sapp25086	920	21	8	14	22	20	15	22	23	27	30	20	13
sapp25089	300	1	0	0	0	0	0	0	0	0	0	0	0
sapp25112	1128	0	0	0	0	0	0	0	0	0	0	0	0
sapp25112	52	1	1	4	3	5	4	4	3	4	3	2	1
sapp25112	657	5	1	13	5	8	6	8	8	8	4	6	0
sapp25112	1136	2	0	7	2	3	2	2	4	3	3	1	2
sapp25109	2013	36	157	56	159	56	163	34	137	80	145	95	496
sapp25106	717	1	25	0	49	6	28	5	24	8	20	2	21
sapp25105	2619	968	282	867	161	861	485	788	173	838	128	812	172
sapp25101	2491	1653	3131	2182	4502	2635	4531	2304	3890	2507	3114	2416	3739
sapp25101	50	15	79	24	112	24	137	24	155	22	92	24	87
sapp25101	830	2	6	0	10	4	5	3	1	8	5	3	5
sapp25101	138	0	0	0	0	0	0	0	0	0	0	0	0
sapp25101	610	0	3	0	1	0	2	0	0	0	0	0	0
sapp25101	130	0	0	0	0	0	0	0	0	0	0	0	0
sapp25107	993	1573	336	2548	880	2057	781	1364	719	1590	580	2182	574
sapp25114	1704	12	12	10	45	22	87	56	145	93	25	14	181
sapp25111	2175	81	127	121	149	146	113	123	110	172	85	75	90
sapp25113	1186	284	215	363	339	323	284	253	298	277	306	306	358
sapp25104	1764	1	0	8	0	1	0	1	0	2	0	0	1
sapp25108	423	0	0	0	0	1	0	0	0	0	0	0	1
sapp25115	1045	61	0	160	0	92	0	144	0	120	0	151	0
sapp25118	525	0	0	0	0	0	0	0	0	0	0	0	0
sapp25119	1521	4	5	5	9	2	1	0	3	1	2	2	0
sapp25121	2120	264	334	312	705	239	360	213	281	244	342	299	295
sapp25117	525	0	0	0	0	0	0	0	0	0	0	0	0
sapp25116	492	0	0	0	0	0	0	0	0	0	0	0	0
sapp25137	1506	20	2	24	1	18	5	26	3	21	0	20	3
sapp25131	2758	263	378	308	534	272	586	255	693	402	714	247	624
sapp25122	2853	1492	427	2563	853	2159	861	1595	666	1595	345	1679	579
sapp25125	1599	151	166	185	284	157	195	164	170	180	189	195	213
sapp25136	393	3	4	4	7	10	9	3	15	8	8	1	12
sapp25126	657	0	0	0	0	0	0	0	1	1	0	4	4
sapp25124	1280	1218	701	1651	921	1455	877	1260	763	1217	722	1499	790
sapp25135	249	3	0	10	2	2	0	3	0	5	0	4	0
sapp25138	2351	68	60	121	60	86	101	129	138	172	149	113	94
sapp25129	3110	131	72	213	126	203	137	292	165	293	159	222	144
sapp25139	680	139	51	160	87	89	77	124	78	128	96	150	70
sapp25127	1672	323	549	277	665	376	463	404	778	597	1041	461	865
sapp25132	1490	363	343	185	390	227	264	424	274	403	502	691	700
sapp25133	493	4	4	2	17	3	13	5	7	1	5	5	8
sapp25130	219	0	0	0	0	0	0	0	0	0	0	0	0
sapp25147	2814	0	0	2	0	0	0	0	0	1	0	1	0
sapp25157	1314	0	0	8	1	4	0	4	0	1	0	3	0
sapp25152	2154	0	0	2	0	1	0	3	1	1	0	0	0
sapp25146	1422	0	1	0	0	0	1	0	0	0	0	0	0
sapp25158	4049	66	17	55	48	107	32	132	62	86	71	104	71
sapp25145	2064	0	0	0	0	0	0	0	0	0	0	1	0
sapp25148	654	0	1	2	1	1	0	1	0	0	1	0	0
sapp25143	1491	2	8	7	13	18	6	8	3	2	1	0	0
sapp25140	684	39	134	15	156	34	159	31	154	31	206	34	74
sapp25151	1230	101	177	133	253	125	201	144	215	133	224	101	161
sapp25150	1110	185	64	183	126	181	77	157	89	163	70	188	83
sapp25159	558	0	1	1	0	0	0	0	0	0	0	0	0
sapp25170	2842	61	233	41	340	108	315	89	449	176	471	76	365
sapp25161	474	0	0	0	0	0	0	0	0	0	0	0	0
sapp25166	1296	120	225	335	670	214	313	193	593	389	614	158	539
sapp25164	1243	14	1	28	0	46	1	52	0	31	2	20	0
sapp25165	399	2	1	3	30	4	0	2	48	6	78	0	9
sapp25163	1293	13	34	70	96	32	35	45	59	42	85	50	64
sapp25172	495	2	0	5	0	2	0	1	0	3	0	1	0
sapp25171	864	15	3	32	8	29	7	33	5	21	3	16	5
sapp25160	1682	324	13	349	14	269	24	221	13	285	3	335	27
sapp25169	1882	890	1101	1332	2908	1197	1481	820	1450	984	1270	1099	1324
sapp25167	2121	93	114	30	167	115	128	192	347	220	396	119	219
sapp25173	1080	0	0	0	0	2	0	1	0	2	0	0	0
sapp25162	855	2	3	3	13	1	6	4	15	4	12	5	1
sapp25174	1350	17	5	44	16	35	21	27	18	38	11	28	11
sapp25176	795	3	0	5	5	4	2	3	0	2	0	1	1
sapp25175	702	8	1	11	3	11	1	7	3	6	3	11	2
sapp25187	411	0	0	0	0	0	0	0	0	0	0	0	0
sapp25182	288	0	0	0	0	0	0	0	0	1	1	0	0
sapp25183	1769	289	215	291	497	255	245	242	226	271	284	374	211
sapp25185	420	46	51	52	76	52	75	57	66	65	59	41	52
sapp25180	1694	167	53	152	54	139	64	92	54	90	47	116	33
sapp25198	3047	592	577	967	803	828	698	1016	699	1037	593	854	598
sapp25203	3039	26	14	289	216	151	29	72	70	94	77	30	22
sapp25190	2331	63	43	128	71	111	34	145	52	133	97	163	50
sapp25189	1974	1437	514	2806	1002	2015	865	2048	1294	2207	1003	2447	1204
sapp25186	3103	7	23	25	27	8	14	25	29	18	35	9	10
sapp25181	741	0	1	1	0	1	2	4	0	2	1	5	2
sapp25197	350	0	0	0	0	0	1	0	0	0	0	0	0
sapp25197	520	44	23	50	33	45	26	54	26	45	19	39	38
sapp25197	199	28	15	16	3	29	18	72	26	32	20	33	22
sapp25193	3095	327	1661	328	4262	676	1713	2024	6480	2927	7605	1832	7746
sapp25199	750	16	4	15	4	23	8	35	11	20	16	26	14
sapp25188	539	758	1945	516	3130	749	2113	914	3211	1475	3783	1232	3071
sapp25201	1531	58	43	87	57	104	35	70	59	80	64	82	45
sapp25184	2346	205	283	309	569	284	314	270	628	401	710	224	349
sapp25178	1338	3	13	0	2	3	10	0	0	0	5	0	0
sapp25195	487	409	92	560	216	520	182	293	165	352	130	460	136
sapp25194	225	0	0	0	0	0	0	0	0	0	0	0	0
sapp37385	1317	0	0	0	0	0	0	0	0	0	0	0	0
sapp37386	1266	2	0	0	0	3	1	0	0	0	0	0	0
sapp37383	1299	0	0	0	1	0	0	0	0	0	0	0	1
sapp37378	369	0	0	0	0	0	0	0	0	0	0	0	0
sapp37380	570	0	0	0	1	0	0	5	2	8	3	1	3
sapp37382	414	0	0	0	0	0	0	0	0	0	0	0	0
sapp37401	1034	136	74	232	115	161	119	147	115	142	108	162	106
sapp37393	2787	793	378	1726	773	1265	516	862	609	1027	368	919	319
sapp37389	1125	0	0	0	0	0	0	0	0	0	0	0	0
sapp37400	570	1	0	6	0	5	0	0	0	0	0	0	0
sapp37394	2070	117	61	199	122	180	163	159	180	165	115	157	77
sapp37387	1193	0	0	0	0	0	0	0	0	0	0	0	0
sapp37398	1884	515	658	805	1158	773	797	640	670	683	651	597	690
sapp37391	1521	9	1	20	2	13	2	6	8	13	5	5	10
sapp37397	270	0	1	4	2	10	3	5	1	8	3	2	5
sapp37410	1725	5924	5633	2986	2224	10769	7430	12955	7920	10642	9210	9314	9684
sapp37411	1615	91	11	155	11	84	17	57	10	78	13	84	12
sapp37408	1999	903	1019	1244	1630	1065	1307	935	1086	952	993	1117	1166
sapp37408	70	0	1	0	0	3	2	0	0	2	0	0	2
sapp37408	573	7	5	6	5	5	4	8	0	8	3	3	7
sapp37408	393	4	4	3	2	2	3	0	2	2	4	0	4
sapp37404	2225	5565	3952	6977	6407	6686	5587	4197	3734	4424	4072	5278	3901
sapp37413	870	0	0	0	0	1	0	0	0	0	0	1	0
sapp37406	831	0	3	0	9	0	1	0	4	1	4	0	3
sapp37406	309	0	2	0	2	0	0	0	1	0	1	0	1
sapp37409	1185	1374	602	2578	880	1491	753	1578	559	1490	924	1561	653
sapp37420	570	99	7	8	4	27	15	15	12	34	30	31	42
sapp37418	612	0	0	1	0	1	1	0	0	0	1	0	0
sapp37418	384	0	0	0	0	0	0	0	0	0	0	0	0
sapp37415	143	95	28	38	85	79	28	19	24	66	18	76	80
sapp37415	175	25	5	2	4	4	3	0	3	5	7	8	25
sapp37415	106	28	0	1	6	8	4	1	2	3	3	18	11
sapp37417	3576	165	144	23	151	95	157	53	147	102	343	89	202
sapp37416	213	391	49	116	104	230	50	89	60	177	121	166	250
sapp37427	618	0	0	0	0	0	0	0	0	0	0	0	0
sapp37425	1629	39	2	32	7	29	18	26	4	18	5	29	5
sapp37429	1823	250	584	292	686	358	582	272	581	226	643	279	614
sapp37421	1084	357	65	54	96	218	99	36	39	73	104	231	214
sapp37424	1314	0	0	0	0	0	1	0	0	0	0	0	0
sapp37430	1284	26	319	146	676	140	372	119	408	141	480	40	492
sapp37423	96	0	0	0	0	0	0	0	0	0	0	0	0
sapp37423	3274	75	59	40	57	54	41	42	77	66	129	64	93
sapp37423	3728	348	120	502	392	434	243	487	524	502	459	593	521
sapp37426	3574	241	1088	486	1908	446	1519	430	1733	638	1305	404	750
sapp37436	1871	185	98	247	212	254	189	174	177	200	168	207	129
sapp37433	1239	1	16	11	17	12	8	10	11	13	30	8	37
sapp37431	2150	113	22	347	66	178	73	230	88	170	52	146	46
sapp37435	975	0	0	0	1	0	0	0	0	0	1	0	0
sapp37442	2565	0	0	0	2	0	1	10	2	17	5	35	8
sapp37437	354	0	0	0	0	0	0	0	0	0	0	0	0
sapp37440	645	35	21	3	5	0	2	0	0	1	0	0	1
sapp37438	122	0	0	0	0	0	0	0	0	0	0	0	0
sapp37438	2550	172	79	178	94	134	80	128	111	134	65	183	70
sapp37438	305	7	5	0	6	0	1	0	1	0	1	0	1
sapp37434	300	0	0	0	0	0	1	0	0	0	1	1	1
sapp55677	351	0	0	0	0	0	0	0	0	0	0	0	0
sapp55676	221	0	0	0	0	0	0	0	0	0	0	0	0
sapp47261	549	0	0	0	0	0	0	0	2	0	0	1	0
sapp47259	552	0	0	0	0	0	0	0	1	0	0	0	0
sapp47262	281	70	76	135	99	91	87	77	87	90	92	91	84
sapp47263	390	33	30	37	49	32	24	20	30	27	31	38	25
sapp47265	2581	89	48	133	75	89	67	75	48	121	71	150	74
sapp47267	1232	70	18	139	24	99	36	97	31	87	22	87	22
sapp47264	965	44	13	58	45	37	28	34	44	47	18	42	30
sapp47264	189	0	0	0	0	1	0	1	0	0	0	1	0
sapp47264	932	139	62	183	133	147	106	124	73	144	107	154	83
sapp47266	1920	5	21	7	45	18	29	22	37	26	57	16	48
sapp47270	843	0	0	0	0	0	0	0	0	0	0	0	0
sapp55621	231	0	0	0	0	0	0	0	0	0	0	0	0
sapp55621	1954	69	101	1	5	26	115	76	141	97	148	83	128
sapp55621	319	0	0	0	0	0	0	0	0	0	0	0	0
sapp54763	2451	0	0	2	3	4	9	10	12	18	13	13	9
sapp54761	798	0	1	1	0	0	0	2	0	1	0	0	0
sapp54764	1559	2	5	0	0	6	1	21	6	37	26	9	6
sapp54759	417	0	0	0	0	0	0	0	0	0	0	0	0
sapp54760	225	0	0	0	0	0	0	0	0	0	0	0	0
sapp54297	690	0	0	0	0	0	0	0	0	0	0	0	0
sapp50804	1440	513	202	763	304	560	233	577	259	492	208	644	220
sapp50802	1963	464	157	950	277	713	347	573	210	723	253	708	186
sapp50809	828	0	0	0	0	0	0	0	0	0	1	0	0
sapp50800	3816	1629	540	2369	821	1930	792	1994	874	2180	743	2168	812
sapp50816	540	0	0	0	0	0	0	0	0	0	0	0	0
sapp50814	582	0	0	0	0	0	0	0	0	0	0	0	0
sapp50811	1128	0	0	0	0	0	0	0	1	0	0	0	0
sapp50805	933	14	12	18	8	16	8	6	7	16	3	18	9
sapp50810	567	0	0	0	0	0	0	1	1	0	1	0	0
sapp50806	393	0	0	0	0	0	0	0	0	0	0	1	0
sapp50818	702	0	0	0	0	0	0	0	0	0	0	0	0
sapp50819	927	0	0	0	0	0	0	0	0	0	0	0	0
sapp50798	145	0	0	0	0	0	0	0	0	0	0	0	0
sapp50798	1370	0	0	0	0	0	0	0	0	0	0	0	0
sapp50798	2380	33	127	38	141	64	163	45	137	92	156	60	150
sapp50798	180	0	0	0	0	0	0	0	0	0	0	0	0
sapp50798	1779	12	44	68	181	35	56	69	190	117	215	173	256
sapp50798	241	20	67	36	88	34	66	36	62	37	56	46	55
sapp50798	92	4	6	3	11	4	8	1	2	2	7	2	7
sapp50798	1765	0	0	0	0	0	0	0	0	0	0	0	0
sapp50798	222	0	0	0	0	0	0	0	0	0	0	0	0
sapp50798	181	0	0	0	0	0	0	0	0	0	0	0	0
sapp50807	552	0	0	0	0	0	0	0	0	0	0	0	0
sapp50808	576	0	0	0	0	0	0	0	0	0	0	0	0
sapp49969	1275	873	3188	936	4319	919	2789	1011	2479	1206	3400	1186	2599
sapp49970	972	4	8	1	4	2	4	4	8	3	19	12	15
sapp49974	708	0	0	0	0	0	0	0	0	0	0	0	0
sapp49973	351	0	0	0	2	0	0	0	0	0	0	0	0
sapp49977	708	0	0	0	0	0	0	0	0	0	0	0	0
sapp49976	330	0	0	0	0	0	0	0	0	0	0	0	0
sapp55283	1914	8	16	3	2	3	2	0	1	2	3	1	4
sapp54531	717	0	1	0	0	0	0	0	0	0	0	0	0
sapp54534	426	0	0	0	0	0	0	0	0	0	0	0	0
sapp54532	225	0	0	0	0	0	0	0	0	0	0	0	0
sapp54533	351	0	0	0	0	0	0	0	0	0	0	0	0
sapp41487	2148	33	69	73	108	67	76	65	77	46	137	20	42
sapp41488	1490	441	193	1365	656	704	235	379	180	447	247	479	189
sapp41491	423	204	28	154	49	236	75	510	200	468	87	460	99
sapp41490	195	0	0	0	0	0	0	0	0	0	0	0	0
sapp41493	330	3	3	4	3	5	2	0	0	0	0	1	0
sapp41493	540	8	39	7	42	13	31	0	1	0	1	0	1
sapp41493	128	1	4	3	6	1	6	0	0	0	1	0	0
sapp41493	509	0	0	0	0	0	0	0	0	0	0	0	0
sapp41493	786	6	2	1	11	5	11	0	1	0	0	0	0
sapp41493	348	0	0	0	0	0	0	0	0	0	0	0	0
sapp41493	199	0	0	0	0	0	0	0	0	0	0	0	0
sapp41496	432	32	3	27	20	18	26	18	19	16	10	46	8
sapp41492	1519	48	5	56	11	45	22	65	7	76	13	60	16
sapp41497	192	0	0	0	0	0	0	0	0	0	0	0	0
sapp41498	1065	0	0	0	0	0	0	0	0	0	0	0	0
sapp41500	246	18	15	13	7	36	18	46	22	36	30	49	28
sapp41499	1329	703	268	1298	395	1112	429	572	259	654	217	557	169
sapp41501	189	0	0	0	0	0	0	0	0	0	0	0	0
sapp53341	1309	25	22	54	64	94	29	58	90	42	35	48	43
sapp53341	230	0	0	0	11	0	0	0	3	3	0	1	1
sapp53341	583	1	1	2	5	5	4	1	0	5	0	3	2
sapp53341	142	0	0	0	0	0	0	0	0	1	0	0	0
sapp53341	94	0	0	0	0	0	0	0	0	0	0	0	0
sapp53343	201	28	19	38	28	27	27	39	31	38	21	35	34
sapp53340	290	0	0	0	0	0	0	0	0	0	0	0	0
sapp53340	90	0	0	0	0	0	0	0	0	0	0	0	1
sapp53340	210	3	2	4	0	1	1	2	1	2	2	2	3
sapp53340	1074	20	12	15	11	3	12	26	6	11	9	19	14
sapp53340	219	0	3	1	1	0	0	6	1	1	0	0	0
sapp53340	141	0	0	0	0	0	0	0	0	0	0	0	0
sapp53340	438	0	0	0	0	0	1	0	1	0	0	1	1
sapp28842	573	2	0	1	0	2	0	2	0	1	0	1	3
sapp28836	5062	576	916	828	1189	713	794	745	811	793	985	760	859
sapp28831	2353	178	52	267	74	204	91	204	119	213	122	187	100
sapp28833	2373	474	551	746	673	678	709	602	560	677	513	569	524
sapp28843	1485	782	29	852	21	801	29	261	38	468	38	519	40
sapp28834	2922	639	110	252	31	1092	87	1222	104	701	99	744	180
sapp28839	1801	43	11	116	20	72	32	76	27	88	26	54	27
sapp28835	1959	9	0	15	1	7	2	9	1	14	1	3	2
sapp28832	2041	1300	709	1256	853	929	648	902	739	926	605	1079	625
sapp28828	191	0	1	0	8	2	5	1	4	0	5	0	1
sapp28828	4758	348	662	359	1239	459	858	507	743	494	981	307	687
sapp28828	200	9	36	15	103	16	17	2	47	18	99	8	77
sapp28841	1346	951	139	761	148	989	300	481	206	533	184	665	269
sapp28838	546	0	0	0	1	2	2	2	1	1	4	3	3
sapp28844	1601	1646	552	2501	816	1769	711	1730	771	1854	899	1867	693
sapp28846	863	6	113	4	373	3	252	23	169	33	128	5	290
sapp28858	1831	45	18	100	26	68	27	45	32	46	14	65	19
sapp28861	945	8	1	7	2	9	0	1	2	4	3	0	0
sapp28855	1473	1	2	2	2	1	4	3	4	0	1	0	2
sapp28854	477	1	3	3	3	1	0	0	0	1	0	3	1
sapp28849	1419	357	346	594	616	573	457	398	496	433	351	462	443
sapp28859	2420	644	541	970	450	1131	899	910	566	894	691	1115	445
sapp28850	1941	65	4	121	10	128	25	40	6	30	14	82	13
sapp28852	987	0	0	0	0	0	0	0	1	1	0	0	1
sapp28863	3039	531	151	634	273	562	247	516	201	532	167	695	227
sapp28853	381	122	128	206	218	170	165	136	148	144	125	195	156
sapp28847	3151	559	480	925	827	817	624	892	682	844	552	844	662
sapp28857	423	243	258	304	340	196	190	235	174	252	224	316	236
sapp28856	396	1	0	2	1	0	2	1	0	1	0	1	1
sapp28869	741	72	123	91	191	126	151	133	225	161	204	112	190
sapp28871	1629	122	158	180	270	184	196	173	229	194	271	159	245
sapp28876	1359	1	0	7	0	4	2	24	7	20	5	21	10
sapp28872	2221	993	874	1129	1743	992	1046	1071	1279	1195	1388	1402	1521
sapp28865	2838	169	228	251	426	283	255	211	208	221	185	192	224
sapp28878	225	2	15	0	35	0	16	5	75	12	26	2	115
sapp28875	2236	408	352	690	582	576	567	553	559	486	336	508	305
sapp28868	1279	20	10	28	5	15	10	20	6	24	31	24	13
sapp28867	570	19	9	17	11	9	13	12	5	15	12	25	9
sapp28874	516	2	1	3	3	1	1	1	2	2	0	0	2
sapp28881	2272	130	79	177	159	161	104	142	83	177	79	180	91
sapp28887	1243	532	20	1062	39	748	88	432	63	456	44	347	43
sapp28888	1676	137	50	206	98	187	93	201	49	183	79	153	63
sapp28890	387	0	2	0	0	0	0	0	1	0	0	0	0
sapp28883	2313	525	1427	504	2594	608	1741	528	1622	609	2347	910	1924
sapp28883	219	9	20	5	39	8	22	9	30	15	32	15	35
sapp28883	351	28	92	40	156	34	103	20	116	28	196	58	107
sapp28889	849	1	5	5	6	7	3	6	8	8	12	7	0
sapp28879	3934	736	1270	1110	1945	925	1216	983	1363	1061	1243	1037	1265
sapp28891	462	2	0	2	0	1	2	0	0	1	0	0	1
sapp28885	4021	122	10	260	27	176	45	85	22	124	13	137	13
sapp28895	1542	30	139	36	159	29	97	36	109	51	99	23	26
sapp28899	2624	724	112	930	172	848	376	795	278	815	291	752	285
sapp28905	6487	141	165	217	271	215	267	337	267	414	317	431	336
sapp28892	555	0	0	0	0	1	0	0	1	1	0	0	0
sapp28894	2385	3	2	1	2	3	4	0	0	1	1	1	2
sapp28903	1431	67	9	98	21	46	17	63	12	111	13	48	10
sapp28900	2822	60	7	85	8	72	16	68	17	74	3	35	8
sapp28902	3731	709	5558	470	10143	1186	7301	1121	9652	3165	10814	1319	9787
sapp28893	1581	0	0	0	0	1	0	0	0	0	0	0	3
sapp28904	4118	26	22	41	31	41	30	93	64	98	64	58	35
sapp28906	3314	733	278	999	470	818	487	747	465	849	429	860	415
sapp28897	3889	130	128	85	133	182	239	310	566	353	632	243	488
sapp28896	1497	0	1	0	0	0	1	0	6	1	0	0	1
sapp28923	2236	113	56	199	63	156	81	66	76	75	68	111	88
sapp28920	1268	1	0	0	1	0	0	0	0	0	0	0	0
sapp28913	1924	181	1737	97	2751	225	1908	198	3233	1082	3691	346	3053
sapp28907	1973	210	40	476	93	361	105	241	86	308	59	227	72
sapp28910	1515	0	0	0	2	1	0	0	0	0	0	0	0
sapp28917	1217	471	241	709	508	530	297	482	387	505	344	675	347
sapp28912	970	33	71	17	43	29	71	33	87	41	158	43	123
sapp28912	2692	334	785	161	1123	312	869	407	927	523	2130	487	1111
sapp28912	401	0	0	0	0	0	0	0	0	0	0	0	0
sapp28914	2388	1022	896	1447	1760	1294	1053	1096	1010	1168	1053	1401	1165
sapp28911	312	81	13	204	57	156	43	118	43	128	22	92	24
sapp28918	217	1	0	0	0	0	0	1	0	0	0	0	0
sapp28932	3711	13	3	5	1	4	2	20	9	8	6	22	1
sapp28924	3196	513	338	833	594	658	511	658	483	731	478	610	404
sapp28928	1144	235	256	297	333	297	291	342	431	318	297	262	353
sapp28927	537	0	0	0	0	0	0	0	0	0	0	0	0
sapp28926	981	4303	3608	15464	7532	6770	5926	5084	3641	4764	4922	5850	5867
sapp28931	1729	23	30	29	66	57	80	55	58	64	58	55	72
sapp28930	2739	301	175	380	255	412	250	358	299	355	248	402	245
sapp28925	1146	6184	7878	10827	7623	6433	7177	7192	6085	7292	7349	7328	7608
sapp28929	1343	56	139	93	67	61	66	84	86	67	80	67	101
sapp28934	1611	424	182	635	397	539	323	455	287	457	311	539	242
sapp28942	2789	334	39	1468	79	798	174	444	42	494	15	311	41
sapp28942	435	33	1	121	13	72	10	52	9	48	1	24	10
sapp28942	363	9	1	9	2	4	1	9	1	11	0	3	0
sapp28937	2035	141	74	419	73	186	124	195	42	180	51	132	81
sapp28944	1488	0	0	1	0	0	0	0	0	0	0	0	1
sapp28946	1291	4756	1197	1676	149	3057	1715	5671	382	4001	580	9667	1572
sapp28938	1976	233	129	340	198	261	177	298	216	320	225	327	245
sapp28939	1263	98	26	161	58	128	55	162	76	169	54	182	84
sapp28945	2109	95	113	161	192	129	121	145	197	142	177	122	167
sapp28935	384	1	0	1	8	2	5	1	5	7	6	0	1
sapp28940	1104	0	0	0	0	0	0	1	1	0	0	0	0
sapp28936	402	100	644	108	1822	113	932	167	1019	328	1140	173	1084
sapp28950	1730	34	2	50	3	37	8	28	7	30	8	32	2
sapp28949	2378	172	146	294	254	214	188	202	171	178	195	227	171
sapp28957	935	93	62	149	95	97	78	158	124	117	73	133	115
sapp28955	999	0	0	0	0	0	0	0	0	0	0	0	0
sapp28954	381	3	0	10	0	3	0	6	0	6	0	0	0
sapp28947	1478	14	5	27	17	19	14	25	19	31	26	28	33
sapp28947	780	0	0	0	0	0	0	0	0	0	0	0	0
sapp28947	361	96	68	94	90	78	88	66	82	98	97	102	84
sapp28951	938	59	14	94	49	98	34	86	34	86	52	87	28
sapp28952	5987	1	2	9	15	10	5	2	2	3	1	2	2
sapp28973	411	41	42	82	85	74	61	76	48	59	67	80	53
sapp28970	1515	3	2	7	1	2	4	5	3	9	12	4	0
sapp28976	953	0	0	0	0	0	0	0	0	0	0	6	3
sapp28962	8451	38	12	66	30	84	31	119	33	133	41	76	34
sapp28971	555	8	4	6	8	4	4	2	6	7	14	9	2
sapp28958	1293	545	55	565	59	552	129	471	79	532	67	553	170
sapp28963	1051	0	0	0	0	0	0	0	7	1	4	0	0
sapp28959	1690	271	327	400	433	316	317	329	318	405	372	356	350
sapp28965	2046	77	671	42	940	117	808	66	535	202	647	99	739
sapp28972	881	1771	1241	904	744	2679	2304	3150	1775	2595	1759	2256	2847
sapp28969	3165	555	356	1004	641	925	500	737	482	752	428	784	394
sapp28966	762	0	0	0	0	0	0	0	1	0	0	0	0
sapp28960	1848	736	442	1150	659	967	729	821	617	935	620	1010	570
sapp28967	3087	76	388	98	567	88	412	319	1888	805	1988	324	2047
sapp28975	1695	70	55	168	244	264	118	170	190	168	153	209	194
sapp28964	492	0	0	0	0	0	0	0	0	0	0	0	0
sapp28974	1581	200	165	315	296	248	191	264	237	288	173	225	217
