Geneid	Length	670-105-B	670-105-F	670-1190-B	670-1190-F	670-34-B	670-34-F	716-23-B	716-23-F	716-4-B	716-4-F	716-6-B	716-6-F
sapp24732	96	0	0	0	0	0	0	0	0	0	0	0	0
sapp24732	237	0	0	0	0	0	0	0	0	0	0	0	0
sapp24732	170	0	0	0	0	1	0	1	0	0	0	1	0
sapp24743	522	155	26	400	10	437	90	361	30	521	29	140	30
sapp24730	2497	0	0	2	0	0	0	4	0	0	0	0	0
sapp24730	2464	0	0	0	0	0	0	0	0	0	0	0	0
sapp24730	77	3	0	3	2	0	0	1	0	2	0	1	1
sapp24752	3497	74	2	119	1	83	18	38	26	80	8	64	4
sapp24750	2717	596	478	686	690	581	674	545	505	489	636	612	482
sapp24748	533	0	0	0	0	0	0	0	0	0	0	0	0
sapp24748	1511	690	719	1237	1101	1184	1030	717	779	754	804	779	694
sapp24748	111	2	1	0	1	2	3	2	0	1	1	0	0
sapp24748	661	0	0	2	0	2	1	0	0	0	0	0	0
sapp24748	357	25	7	48	29	44	17	40	19	30	24	26	21
sapp24760	1666	1920	3062	1845	4785	1773	1469	1222	1442	1545	2768	2518	3722
sapp24747	3514	142	10	227	12	184	29	87	18	141	11	125	13
sapp24754	1572	459	506	467	694	602	538	488	391	524	458	641	495
sapp24758	1431	16	6	18	8	20	6	11	7	14	1	19	4
sapp24758	565	0	0	0	0	0	0	0	0	0	0	0	0
sapp24758	1026	443	119	682	256	587	216	525	183	489	137	637	144
sapp24753	714	1	0	0	0	0	0	0	0	0	0	0	0
sapp24751	1161	45	10	71	25	52	14	33	10	37	10	40	8
sapp24756	1045	4	0	1	0	0	0	0	0	0	1	1	0
sapp24756	1010	3	2	4	2	1	3	5	11	2	14	7	2
sapp24756	419	2	2	1	7	8	1	10	8	6	13	6	1
sapp24757	843	51	75	99	58	162	98	53	18	60	38	24	18
sapp24761	2058	1	0	1	0	0	0	0	0	0	0	0	0
sapp24765	3054	599	169	946	305	623	284	354	92	382	78	329	64
sapp24769	1353	1	3	2	25	4	13	2	15	13	34	5	10
sapp24772	4221	218	150	350	233	288	162	258	174	233	177	228	165
sapp24762	4351	1345	0	1246	2	1287	0	306	8	710	0	838	1
sapp24774	1468	299	217	534	388	425	319	422	299	437	312	396	321
sapp24763	6107	302	125	461	227	350	125	192	96	248	81	182	81
sapp24770	1492	8	2	22	13	21	11	4	1	1	2	5	2
sapp24766	1005	0	0	0	0	0	0	0	0	0	0	0	0
sapp24784	2137	6	5	260	224	256	212	197	159	209	162	285	212
sapp24780	1455	358	205	541	294	444	331	418	226	497	243	476	192
sapp24787	1923	0	0	10	13	10	6	13	3	8	10	10	3
sapp24779	1094	21	25	9	30	9	49	0	1	0	0	0	0
sapp24779	1492	209	263	342	465	241	339	213	279	209	299	251	170
sapp24779	943	0	0	0	0	0	0	0	0	0	0	0	0
sapp24778	775	10	9	27	15	13	0	5	14	13	18	10	26
sapp24776	312	0	0	0	0	0	0	2	0	2	0	0	1
sapp24783	252	0	0	0	0	0	0	0	0	0	0	0	0
sapp24797	475	3	1	4	0	7	2	5	2	4	0	2	0
sapp24797	2462	434	547	617	832	589	819	534	794	630	744	351	595
sapp24797	98	8	6	11	9	17	9	15	5	11	7	1	0
sapp24791	2499	172	241	238	370	199	324	166	243	171	186	219	234
sapp24790	533	0	0	5	1	3	1	11	8	11	3	7	2
sapp24803	2313	1	0	1	0	1	0	0	0	1	0	0	0
sapp24788	3033	0	0	4	1	1	0	1	2	4	4	5	1
sapp24808	306	0	0	0	0	0	0	0	0	0	0	0	0
sapp24806	285	0	0	0	0	0	0	1	0	0	0	0	0
sapp24796	4552	257	252	514	379	368	270	368	238	373	181	364	187
sapp24795	6722	317	46	100	69	374	224	594	170	352	108	427	227
sapp24804	3067	99	1	856	6	849	2	247	30	321	1	98	2
sapp24809	1191	69	210	126	412	108	281	96	163	102	198	94	129
sapp24809	1247	90	196	138	383	150	280	86	151	109	169	104	124
sapp24809	500	0	0	0	0	0	0	0	0	0	0	0	0
sapp24794	673	1407	266	1962	540	1440	486	950	426	1168	466	1315	333
sapp24789	933	0	0	1	0	0	0	0	0	0	0	1	0
sapp24793	1368	119	3	175	8	91	5	185	21	181	8	122	9
sapp24810	1767	145	37	261	76	202	104	181	90	197	75	113	51
sapp24807	987	0	0	0	0	0	0	1	0	0	0	0	0
sapp24800	1128	0	0	0	0	0	0	1	0	0	0	0	0
sapp24801	708	0	0	0	0	0	0	0	0	0	0	0	0
