Description	ID	lycopersicum	appendiculatum	inflata	tuberosum	sinuosa	axillaris	attenuata
OG0000050	OG0000050	28	1	1	3	52	3	5
OG0000051	OG0000051	0	23	25	2	9	16	18
OG0000052	OG0000052	0	49	1	6	29	4	3
OG0000053	OG0000053	8	16	24	9	2	18	14
OG0000054	OG0000054	21	22	3	34	7	2	1
OG0000055	OG0000055	10	2	0	24	3	0	50
OG0000056	OG0000056	4	26	10	29	8	5	7
OG0000057	OG0000057	18	1	7	30	0	5	28
OG0000058	OG0000058	1	2	0	61	24	0	0
OG0000059	OG0000059	21	12	12	18	2	12	10
OG0000060	OG0000060	15	27	12	22	0	9	2
OG0000061	OG0000061	55	11	0	6	13	1	0
OG0000062	OG0000062	2	17	2	17	46	1	0
OG0000063	OG0000063	16	12	13	35	6	0	2
OG0000064	OG0000064	2	9	0	60	13	0	0
OG0000065	OG0000065	5	3	0	3	26	7	39
OG0000066	OG0000066	1	20	0	9	51	1	1
OG0000067	OG0000067	1	7	32	1	1	41	0
OG0000068	OG0000068	13	6	10	12	15	12	14
OG0000069	OG0000069	1	18	19	10	9	20	5
OG0000070	OG0000070	2	23	0	47	3	3	4
OG0000071	OG0000071	15	4	12	18	9	10	14
OG0000072	OG0000072	7	28	6	28	7	4	1
OG0000073	OG0000073	1	3	0	55	21	0	0
OG0000074	OG0000074	5	8	24	14	2	19	8
OG0000075	OG0000075	0	0	40	0	0	40	0
OG0000076	OG0000076	27	0	23	3	9	17	0
OG0000077	OG0000077	11	10	18	12	3	14	11
OG0000078	OG0000078	13	18	5	36	3	2	1
OG0000079	OG0000079	3	18	6	4	1	24	22
OG0000080	OG0000080	17	9	1	22	3	11	14
OG0000081	OG0000081	2	1	13	5	53	2	0
OG0000082	OG0000082	0	10	2	5	39	3	17
OG0000083	OG0000083	45	21	0	5	5	0	0
OG0000084	OG0000084	11	10	13	12	7	11	11
OG0000085	OG0000085	15	5	8	16	5	14	10
OG0000086	OG0000086	7	15	16	15	1	8	11
OG0000087	OG0000087	11	12	10	15	6	11	8
OG0000088	OG0000088	3	3	23	8	6	27	2
OG0000089	OG0000089	26	6	0	12	28	0	0
OG0000090	OG0000090	12	8	13	3	5	23	8
OG0000091	OG0000091	5	4	15	20	3	12	13
OG0000092	OG0000092	16	10	4	25	0	3	14
OG0000093	OG0000093	4	12	1	15	31	0	8
OG0000094	OG0000094	2	26	0	37	6	0	0
OG0000095	OG0000095	1	10	2	4	30	1	22
OG0000096	OG0000096	5	14	19	7	9	12	4
OG0000097	OG0000097	7	14	0	9	37	1	2
OG0000098	OG0000098	1	22	3	1	14	7	22
OG0000099	OG0000099	4	0	21	19	3	17	6
OG0000100	OG0000100	3	4	12	22	4	14	11
OG0000101	OG0000101	1	22	7	24	9	4	3
